id_leggo,id_ext,casa,id_leggo_prop_principal,id_ext_prop_principal,id_ext_prop_principal_raiz,uri_prop_principal_raiz,interesse
98ee488aca8932c071bac8d86078bf84,2254305,camara,NA,2239527,2239527,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239527,pandemia
99c00942c44387bc143eee10b956ed1c,2263835,camara,NA,1228711,106701,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=106701,socioambiental
9a3fbf754561a72bd063df75a732910f,2261000,camara,NA,2254964,2239398,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239398,pandemia
9a84c4db3f0c3bb1685377f50e2e8ccf,2268650,camara,NA,2250863,2239398,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239398,pandemia
9b4c8226eb7cdf13d9b75c76edae1e54,2192573,camara,NA,2150447,2150447,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2150447,socioambiental
9cbb3bc533541a9b5dad1fc994de8f32,2265730,camara,NA,388915,582806,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=582806,pandemia
9dea29f5c5672f54cdeb8544565186cf,2263069,camara,NA,2057551,2082478,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2082478,socioambiental
9e36ad0202c89996fc0f1ee1bdb905f9,2226262,camara,NA,2224505,2224505,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2224505,socioambiental
9fddbfd0a5d868528855d4ef8db2300a,2234475,camara,NA,539987,111100,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=111100,socioambiental
a098fe719f801bbb2140ef1c87f2283e,601838,camara,NA,475045,475045,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=475045,reforma-tributaria
a10ac08680f6a235b8767a10a446cd85,2250506,camara,NA,2242116,2242116,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242116,transparencia-e-integridade
a15794103ec907bff5203b55d40e9d90,2190522,camara,NA,994678,458609,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=458609,transparencia-e-integridade
a19db9364739fdab78411055c29df354,2259158,camara,NA,2254886,20411,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=20411,transparencia-e-integridade
a2370a7222c2f3a6d501e58811f5fc5f,2254760,camara,NA,550880,20411,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=20411,transparencia-e-integridade
a331696cf3af45ca9139424c07a5445c,2207060,camara,NA,593655,593655,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=593655,socioambiental
a358b024f4aa063fb80ef943276d76ab,121323,camara,NA,42688,42688,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=42688,reforma-tributaria
a36e12797587e820019933e5251b70d6,2250699,camara,NA,2239680,2239538,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239538,pandemia
a3cf14aa1d60fe2d9329f55c1e377b53,2237659,camara,NA,2236726,2189670,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2189670,socioambiental
a3fed7f1b3728c56c0af1dba731b067f,2236726,camara,NA,1526989,2189670,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2189670,socioambiental
a494f5f422a83ceb6af449675327fc61,2191242,camara,NA,2190884,2190884,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190884,socioambiental
a4c2300dcbd6842acb3147c5f5332421,2256573,camara,NA,2252785,2192575,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2192575,pandemia
a7d633558b9d71ddf8396a2a7ea6c8f3,2278611,camara,NA,2278529,2279749,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2279749,pandemia
a8046f76046fad04c08f535df5890293,2256426,camara,NA,2250863,2239398,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239398,pandemia
a81b4f6e8993425391a55d6e1c1836c8,2190498,camara,NA,2189670,2189670,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2189670,socioambiental
a8c1595edd887a94cfd5ea03021d90ca,2242187,camara,NA,2241949,2239534,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239534,pandemia
aa0b034b520b5ed6fea7187b113cb11c,2190535,camara,NA,2074433,2074433,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2074433,transparencia-e-integridade
aac8cbadb7d6109935376ead1503e24d,2191694,camara,NA,1698973,585019,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=585019,socioambiental
ab5ab2b3e890e3b80b2c0d86f717fa59,2264576,camara,NA,2211880,2189670,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2189670,socioambiental
ab74fd0a33d20a6be8c1274f14cbd2ea,2254011,camara,NA,2250863,2239398,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239398,pandemia
abe39bc996872369c2b8e78be817c9a3,2265166,camara,NA,2258843,2170712,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2170712,socioambiental
ac207bb09ed7fb187876d9fe6a19cbca,2211626,camara,NA,2090630,106701,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=106701,socioambiental
addaa43242e8c5b5cee4dfb436883a72,2227371,camara,NA,2217254,593788,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=593788,socioambiental
ae190262ecc392d00472d6fbdfe95088,2225894,camara,NA,2208745,2208745,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2208745,socioambiental
aec5e317d70b069fe809d0b8c09e5ac6,130467,senado,NA,119893,119893,https://www25.senado.leg.br/web/atividade/materias/-/materia/119893,reforma-tributaria
aef1768bf07d632e672c9ef582bfcfde,2190538,camara,NA,2074432,349519,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=349519,transparencia-e-integridade
af5709b02721655d555d446e243f1079,2242565,camara,NA,2239655,2239655,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239655,pandemia
