id_senado,sigla_tipo_senado,numero_senado,ano_senado,id_camara,sigla_tipo_camara,numero_camara,ano_camara
,,,,2111454,PL,6116,2016
,,,,2168891,PL,9716,2018
,,,,2136630,PL,7601,2017
,,,,585614,PL,6007,2013
,,,,1531514,PL,2109,2015
,,,,964559,PL,606,2015
131272,PLS,00393,2017,,,,
113847,PLS,00318,2013,,,,
,,,,2227305,PL,5715,2019
,,,,2242679,PL,1408,2020
133570,PLC,00063,2018,2076723,PL,4288,2016
,,,,2265921,PL,5339,2020
,,,,2233219,PL,6363,2019
,,,,2268659,PL,34,2021
,,,,996640,PL,678,2015
,,,,2206467,PL,3312,2019
,,,,2229876,PL,6056,2019
141303,PL,01172,2020,,,,
122734,PEC,00111,2015,,,,
,,,,2210950,PL,3902,2019
,,,,553076,PL,4306,2012
,,,,2028604,PL,3497,2015
,,,,502883,PL,1397,2011
128870,PLS,00115,2017,,,,
,,,,843798,PL,8260,2014
,,,,550558,PL,4155,2012
,,,,494790,PL,718,2011
129865,PLC,00066,2017,519563,PL,2285,2011
,,,,2249982,PL,2046,2020
,,,,2256308,PL,3508,2020
,,,,2182650,PL,10697,2018
,,,,554396,PL,4391,2012
,,,,2195043,PL,1685,2019
,,,,1050661,PL,865,2015
135095,PL,00401,2019,498960,PL,1118,2011
104658,PEC,00014,2012,,,,
,,,,614309,PEC,400,2014
106427,PLS,00238,2012,565413,PL,5018,2013
,,,,530561,PLP,116,2011
,,,,2239370,PL,662,2020
103796,PLS,00742,2011,,,,
100719,PLS,00329,2011,,,,
,,,,2138859,PL,7700,2017
,,,,2234652,PL,6523,2019
,,,,2200619,PL,2705,2019
,,,,976409,PL,632,2015
119223,PLS,00354,2014,2152723,PL,8676,2017
,,,,2146012,PLP,399,2017
,,,,533510,MPV,557,2011
,,,,1194768,PL,976,2015
134056,PLS,00356,2018,,,,
,,,,2238100,PL,424,2020
,,,,2124972,PL,7072,2017
,,,,2120271,PL,6643,2016
,,,,2232233,PL,6310,2019
,,,,1228745,PL,1363,2015
,,,,2259497,PL,4099,2020
,,,,491074,PL,119,2011
,,,,2233490,PL,6388,2019
,,,,604721,PL,6988,2013
133689,PLS,00301,2018,,,,
,,,,2191309,PL,511,2019
,,,,1202920,PL,1107,2015
,,,,552344,PL,4255,2012
,,,,2203150,PL,2860,2019
,,,,548185,PLP,186,2012
130024,PLC,00076,2017,2093678,PL,5988,2016
,,,,600705,PL,6755,2013
131368,PLS,00413,2017,,,,
,,,,2152490,PL,8655,2017
,,,,2218634,PL,4867,2019
,,,,1594881,PL,2510,2015
,,,,598210,PL,6640,2013
,,,,2252792,PL,2686,2020
,,,,557334,PL,4572,2012
,,,,2093093,PL,5926,2016
,,,,2074451,PL,3928,2015
,,,,2074987,PL,4016,2015
,,,,2242797,PL,1472,2020
,,,,2151580,PL,8594,2017
132044,PLS,00511,2017,,,,
,,,,595169,PEC,321,2013
,,,,556909,PL,4535,2012
137511,PL,03817,2019,,,,
133557,PEC,00010,2018,,,,
137042,PL,03204,2019,,,,
122592,PEC,00108,2015,,,,
101048,PLS,00398,2011,,,,
,,,,2251945,PL,2463,2020
111394,PLS,00073,2013,,,,
,,,,576100,PLP,271,2013
,,,,2250749,PL,2233,2020
,,,,2223558,PEC,157,2019
,,,,619186,PL,7737,2014
,,,,2089535,PL,5690,2016
,,,,2189078,PEC,449,2018
137755,PL,04011,2019,,,,
,,,,2184564,PLN,43,2018
,,,,2238166,PL,453,2020
135936,PL,01717,2019,,,,
,,,,2228846,PL,5903,2019
99558,PLS,00118,2011,,,,
,,,,2254506,PL,3122,2020
,,,,2203942,PL,2962,2019
,,,,2158585,PL,8960,2017
,,,,578901,PL,5674,2013
,,,,2250971,PL,2317,2020
107969,PLS,00366,2012,,,,
115746,PLS,00519,2013,,,,
100000,PLS,00190,2011,,,,
,,,,568854,PL,5217,2013
,,,,1198699,PL,1043,2015
,,,,548084,PL,4063,2012
140148,PL,06398,2019,,,,
,,,,2112191,PL,6176,2016
,,,,2226782,PL,5660,2019
141280,PL,01127,2020,,,,
,,,,2207440,PL,3431,2019
,,,,590746,PL,6265,2013
,,,,2173504,PL,10141,2018
,,,,2079132,PL,4690,2016
,,,,2017067,PL,3252,2015
,,,,2124299,PLV,1,2017
,,,,2260625,PL,4256,2020
,,,,2241678,PL,819,2020
124875,PLS,00049,2016,,,,
134379,PLS,00417,2018,,,,
136599,PEC,00064,2019,,,,
101469,PLS,00456,2011,,,,
,,,,623634,PLN,18,2014
,,,,2269746,PL,328,2021
,,,,497026,PL,891,2011
,,,,2123846,PL,6940,2017
144696,PL,04612,2020,,,,
,,,,2203834,PL,2946,2019
,,,,2241965,PL,1002,2020
100101,PLS,00220,2011,540964,PL,3662,2012
116290,PLS,00056,2014,2160132,PL,9006,2017
